Ponderació de les matèries de modalitat de 2n de batxillerat per al'accés a la universitat a la preinscripció universitària a Catalunya,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
61003,Administració i Direcció d'Empreses,UdL,CSJ,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
61069,Administració i Direcció d'Empreses (Igualada),UdL,CSJ,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
81003,Administració i Direcció d'Empreses,UdG,CSJ,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
71002,Administració i Direcció d'Empreses (Reus),URV,CSJ,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
71004,Administració i Direcció d'Empreses (Tortosa),URV,CSJ,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
71063,"Administració i Direcció d'Empreses ""IGEMA""",URV,CSJ,N/A,N/A,0 2,A,àlisi,usic,l,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
91003,Administració i Direcció d'Empreses,UVic-UCC,CSJ,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
91042,Administració i Direcció d'Empreses (Campus Manresa),UVic-UCC,CSJ,N/A,N/A,0 2,Ar,s Es,èniq,es,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
11064,Administració i Direcció d'Empreses / Dret (Simultaneïtat),UB,CSJ,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,N/A,0 1,0 2,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
21098,Administració i Direcció d'Empreses / Dret (Simultaneïtat),UAB,CSJ,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,N/A,0 1,0 2,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
61035,Administració i Direcció d'Empreses / Dret (Simultaneïtat),UdL,CSJ,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,N/A,0 1,0 2,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
81053,Administració i Direcció d'Empreses / Dret (Simultaneïtat),UdG,CSJ,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,N/A,0 1,0 2,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
71055,Administració i Direcció d'Empreses / Dret (Simultaneïtat),URV,CSJ,N/A,N/A,0 2,Di,uix,rtísti,N/A,0 2,N/A,0 2,0 2,N/A,N/A,0 1,0 2,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
81052,Administració i Direcció d'Empreses / Economia (Simultaneïtat),UdG,CSJ,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
41034,Administració i Direcció d'Empreses - Economia / Dret (Agrupacióde Simultaneïtat),UPF,CSJ,N/A,N/A,0 2,Di,uix,ècnic,N/A,0 2,N/A,0 2,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
61070,Administració i Direcció d'Empreses / Enginyeria en OrganitzacióIndustrial i Logística (simultaneïtat),UdL,EA,N/A,N/A,0 2,Di,seny,0 2,0 1,0 2,N/A,0 2,0 2,0 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,0 2,N/A,0 2,0 2,N/A
81046,Administració i Direcció d'Empreses / Enginyeria en TecnologiesIndustrials (Simultaneïtat),UdG,CSJ,N/A,N/A,0 2,Fí,ica,0 2,N/A,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,0 2,N/A,N/A,0 2,N/A
61036,Administració i Direcció d'Empreses / Enginyeria Informàtica(Simultaneïtat),UdL,CSJ,N/A,N/A,0 2,Fo0 1,ame,ts A0 2,tístic,(Fon0 2,ment,de les0 2,Arts)0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,0 2,N/A,0 2,0 2,N/A
71053,Administració i Direcció d'Empreses / Finances i Comptabilitat(Simultaneïtat),URV,CSJ,N/A,N/A,0 2,FuN,ciongoci (,mencono,de l’ia de,mprl'E0m 2p,sa iesa),odel0 2,de0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
71079,"Administració i Direcció d'Empreses / Màrqueting ""ESIC""(simultaneïtat) Reus / Barcelona",URV,CSJ,N/A,N/A,0 2,G,ograf,a,N/A,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,0 2,N/A,0 2,N/A
71080,"Administració i Direcció d'Empreses / Màrqueting ""ESIC""(simultaneïtat) Tortosa / Barcelona",URV,CSJ,N/A,N/A,0 2,la,erra i,edi A,bien,) 0 2,N/A,(Cièn0 2,ies d0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,0 2,N/A,0 2,N/A
Grau,N/A,Universitat,Branca,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11066,Administració i Direcció d'Empreses / Matemàtiques (Simultaneïtat),UB,CSJ,N/A,N/A,0 2,0 1,N/A,N/A,N/A,0 2,N/A,0 2,0 2,0 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,0 1,N/A,N/A,0 2,N/A
11095,Administració i Direcció d'Empreses / Química (Simultaneïtat),UB,CSJ,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
11090,Administració i Direcció d'Empreses / Sociologia (Simultaneïtat),UB,CSJ,N/A,N/A,0 2,N/A,0 1,N/A,0 1,0 2,0 1,0 2,0 2,0 1,N/A,0 1,0 2,0 1,N/A,N/A,N/A,0 2,0 2,0 2,N/A,0 1,N/A,0 2,N/A
61053,Administració i Direcció d'Empreses / Turisme (Simultaneïtat),UdL,CSJ,0 1,0 1,0 2,N/A,N/A,N/A,N/A,0 2,0 2,0 2,0 2,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,0 2,N/A
71003,Anglès,URV,AH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,N/A,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2
71049,Antropologia i Evolució Humana (Virtual o Semipresencial),URV/UOC,AH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 1,0 2,0 2,N/A,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A
11001,Antropologia Social i Cultural,UB,CSJ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 1,0 2,0 2,N/A,N/A,N/A,N/A,0 2,0 2,N/A,N/A,N/A,N/A,0 2,N/A
21152,Antropologia Social i Cultural,UAB,CSJ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 1,0 2,0 2,N/A,N/A,N/A,N/A,0 2,0 2,N/A,N/A,N/A,N/A,0 2,N/A
11029,Arqueologia,UB,AH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21146,Arqueologia,UAB,AH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11096,Arqueologia / Història (Simultaneïtat),UB,AH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 1,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 1,N/A
71087,Arquitectura  Estudis d',URV,EA,N/A,N/A,N/A,N/A,0 2,0 2,0 2,0 2,0 2,0 1,0 1,0 1,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,0 1,0 1,N/A,N/A,N/A
31078,Arquitectura  Estudis d' (Barcelona),UPC,EA,N/A,N/A,N/A,N/A,0 2,0 2,0 2,0 2,0 2,0 1,0 1,0 1,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,0 1,0 1,N/A,N/A,N/A
31079,Arquitectura  Estudis d' (Sant Cugat del Vallès),UPC,EA,N/A,N/A,N/A,N/A,0 2,0 2,0 2,0 2,0 2,0 1,0 1,0 1,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,0 1,0 1,N/A,N/A,N/A
81057,Arquitectura  Estudis d',UdG,EA,N/A,N/A,N/A,N/A,0 2,0 2,0 2,0 2,0 2,0 1,0 1,0 1,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,0 1,0 1,N/A,N/A,N/A
31016,Arquitectura Tècnica i Edificació,UPC,EA,N/A,N/A,N/A,N/A,N/A,0 2,0 1,0 2,N/A,0 1,N/A,0 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 1,0 1,N/A,N/A,N/A,N/A
61016,Arquitectura Tècnica i Edificació,UdL,EA,N/A,N/A,N/A,N/A,N/A,0 2,0 1,0 2,N/A,0 1,N/A,0 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 1,0 1,N/A,N/A,N/A,N/A
81020,Arquitectura Tècnica i Edificació,UdG,EA,N/A,N/A,N/A,N/A,N/A,0 2,0 1,0 2,N/A,0 1,N/A,0 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 1,0 1,N/A,N/A,N/A,N/A
81065,Arquitectura Tècnica i Edificació (Semipresencial),UdG,EA,N/A,N/A,N/A,N/A,N/A,0 2,0 1,0 2,N/A,0 1,N/A,0 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 1,0 1,N/A,N/A,N/A,N/A
81045,"Arts Escèniques ""ERAM""",UdG,AH,0 2,0 2,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 2,0 2,0 2,0 2,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A
21020,"Arts i Disseny ""Massana""",UAB,AH,N/A,N/A,N/A,Bi,l0o g2i,0 2,0 2,0 2,0 2,0 1,N/A,N/A,N/A,N/A,0 2,0 2,N/A,N/A,N/A,0 1,0 1,N/A,0 1,0 2,N/A,N/A,N/A
91063,Audiologia General,UVic-UCC,CS,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11099,Belles Arts,UB,AH,N/A,N/A,N/A,Ci,n0c i2e,G0 e2n,r0a ls2,N/A,0 2,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A
91059,"Belles Arts ""BAU""",UVic-UCC,AH,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,0 2,N/A,N/A,N/A,N/A,0 2,0 2,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A
91917,Bioinformàtica (Docència en Anglès),UPC/UB/UAB/UPF,CS,N/A,N/A,0 2,Di,uix,rtísti,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
11002,Biologia,UB,C,N/A,N/A,0 2,0 D1i,uix,ècnic,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
21009,Biologia,UAB,C,N/A,N/A,0 2,0 1,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
81006,Biologia,UdG,C,N/A,N/A,0 2,0 D1i,seny,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
91018,Biologia,UVic-UCC,C,N/A,N/A,0 2,0 1,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
21008,Biologia Ambiental,UAB,C,N/A,N/A,0 2,Fí0 1,ica,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
81047,Biologia / Biotecnologia (Simultaneïtat),UdG,C,N/A,N/A,0 2,0 1,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
81048,Biologia / Ciències Ambientals (Simultaneïtat),UdG,C,N/A,N/A,0 2,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
41001,Biologia Humana,UPF,CS,N/A,N/A,0 2,Fu,cion,men,de l’,m0 p2r,sa i,odel,de,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
91058,Biomedicina,UVic-UCC,C,N/A,N/A,0 2,N,goci (,cono,ia de,l'E0m 2p,esa),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
11003,Bioquímica,UB,C,N/A,N/A,0 2,G,ograf,a,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
21011,Bioquímica,UAB,C,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
71005,Bioquímica i Biologia Molecular,URV,C,N/A,N/A,0 2,G,ologi,i Ci,ncies,Amb0 2,ental,(Cièn,ies d,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
Grau,N/A,Universitat,Branca,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71054,Bioquímica i Biologia Molecular / Biotecnologia (Simultaneïtat),URV,C,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
11004,Biotecnologia,UB,C,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
21012,Biotecnologia,UAB,C,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
61005,Biotecnologia,UdL,C,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
81007,Biotecnologia,UdG,C,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
71006,Biotecnologia,URV,C,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
91004,Biotecnologia,UVic-UCC,C,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
81047,Biotecnologia / Biologia (Simultaneïtat),UdG,C,N/A,N/A,0 2,0 1,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
71054,Biotecnologia / Bioquímica i Biologia Molecular (Simultaneïtat),URV,C,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
71056,Biotecnologia / Enginyeria Informàtica (Simultaneïtat),URV,C,N/A,N/A,0 2,N/A,N/A,0 1,N/A,0 2,N/A,0 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 2,N/A,0 2,N/A,N/A
11109,Ciberseguretat - ENTI,UB,EA,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 2,N/A,0 2,N/A,N/A,N/A,N/A
31089,Ciència i Enginyeria de Dades,UPC,EA,N/A,N/A,0 2,N/A,N/A,0 1,0 1,0 2,N/A,0 1,N/A,0 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 1,0 1,N/A,0 1,N/A,N/A
61040,Ciència i Producció Animal / Veterinària (Simultaneïtat),UdL,CS,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
11054,Ciència i Tecnologia dels Aliments,UB,CS,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 1,N/A,N/A,N/A,N/A
21021,Ciència i Tecnologia dels Aliments,UAB,CS,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 1,N/A,N/A,N/A,N/A
61008,Ciència i Tecnologia dels Aliments,UdL,C,N/A,N/A,0 2,N/A,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,0 1,N/A,N/A,N/A,N/A
21013,Ciència Política i Gestió Pública,UAB,CSJ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 1,0 2,0 2,N/A,N/A,0 2,0 2,N/A,N/A,N/A,N/A,0 2,0 2,N/A,N/A,N/A,N/A,0 2,N/A
21104,Ciència Política i Gestió Pública / Dret (Simultaneïtat),UAB,CSJ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 1,0 2,0 2,N/A,N/A,0 2,0 2,N/A,N/A,N/A,N/A,0 2,0 2,N/A,N/A,N/A,N/A,0 2,N/A
21125,Ciència Política i Gestió Pública / Sociologia (Simultaneïtat),UAB,CSJ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 1,0 2,0 2,N/A,N/A,0 2,0 2,N/A,N/A,N/A,N/A,0 2,0 2,N/A,N/A,N/A,N/A,0 2,N/A
21137,Ciència  Tecnologia i Humanitats,UAB/UAM/UC3M,CSJ,N/A,N/A,0 2,0 2,N/A,N/A,N/A,0 2,N/A,0 2,0 2,0 2,0 1,0 2,0 2,0 2,0 2,0 2,0 1,0 2,0 2,0 2,0 2,N/A,N/A,0 2,0 2
21131,Ciències,UAB/UAM/UC3M,C,N/A,N/A,0 2,0 2,N/A,0 1,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,0 1,0 2,N/A,N/A,N/A,N/A,N/A
11005,Ciències Ambientals,UB,C,N/A,N/A,0 2,0 C2i,ncie,Gen,rals,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
21147,Ciències Ambientals,UAB,C,N/A,N/A,0 2,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
81008,Ciències Ambientals,UdG,C,N/A,N/A,0 2,Di0 2,uix,rtísti,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
81048,Ciències Ambientals / Biologia (Simultaneïtat),UdG,C,N/A,N/A,0 2,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,0 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 2,N/A,0 2,N/A,N/A,N/A,N/A,N/A
